RUN	KafkaTestSimulation	kafkatestsimulation	1552048445451	 	3.0.3
USER	Kafka Test	1	START	1552048445827	1552048445827
USER	Kafka Test	2	START	1552048445950	1552048445950
USER	Kafka Test	3	START	1552048446051	1552048446051
REQUEST	1		request	1552048445868	1552048446090	OK	 
REQUEST	2		request	1552048446050	1552048446093	OK	 
REQUEST	3		request	1552048446052	1552048446093	OK	 
USER	Kafka Test	1	END	1552048445827	1552048446093
USER	Kafka Test	2	END	1552048445950	1552048446093
USER	Kafka Test	3	END	1552048446051	1552048446093
USER	Kafka Test	4	START	1552048446160	1552048446160
REQUEST	4		request	1552048446162	1552048446169	OK	 
USER	Kafka Test	4	END	1552048446160	1552048446170
USER	Kafka Test	5	START	1552048446260	1552048446260
REQUEST	5		request	1552048446262	1552048446272	OK	 
USER	Kafka Test	5	END	1552048446260	1552048446272
USER	Kafka Test	6	START	1552048446363	1552048446363
REQUEST	6		request	1552048446365	1552048446374	OK	 
USER	Kafka Test	6	END	1552048446363	1552048446374
USER	Kafka Test	7	START	1552048446460	1552048446460
REQUEST	7		request	1552048446462	1552048446468	OK	 
USER	Kafka Test	7	END	1552048446460	1552048446470
USER	Kafka Test	8	START	1552048446563	1552048446563
REQUEST	8		request	1552048446564	1552048446573	OK	 
USER	Kafka Test	8	END	1552048446563	1552048446573
USER	Kafka Test	9	START	1552048446662	1552048446662
REQUEST	9		request	1552048446664	1552048446678	OK	 
USER	Kafka Test	9	END	1552048446662	1552048446678
USER	Kafka Test	10	START	1552048446760	1552048446760
REQUEST	10		request	1552048446762	1552048446767	OK	 
USER	Kafka Test	10	END	1552048446760	1552048446767
USER	Kafka Test	11	START	1552048446863	1552048446863
REQUEST	11		request	1552048446864	1552048446871	OK	 
USER	Kafka Test	11	END	1552048446863	1552048446871
USER	Kafka Test	12	START	1552048446963	1552048446963
REQUEST	12		request	1552048446964	1552048446971	OK	 
USER	Kafka Test	12	END	1552048446963	1552048446971
USER	Kafka Test	13	START	1552048447062	1552048447062
REQUEST	13		request	1552048447063	1552048447073	OK	 
USER	Kafka Test	13	END	1552048447062	1552048447074
USER	Kafka Test	14	START	1552048447163	1552048447163
REQUEST	14		request	1552048447164	1552048447172	OK	 
USER	Kafka Test	14	END	1552048447163	1552048447173
USER	Kafka Test	15	START	1552048447263	1552048447263
REQUEST	15		request	1552048447264	1552048447270	OK	 
USER	Kafka Test	15	END	1552048447263	1552048447270
USER	Kafka Test	16	START	1552048447372	1552048447372
REQUEST	16		request	1552048447373	1552048447379	OK	 
USER	Kafka Test	16	END	1552048447372	1552048447380
USER	Kafka Test	17	START	1552048447471	1552048447471
REQUEST	17		request	1552048447472	1552048447478	OK	 
USER	Kafka Test	17	END	1552048447471	1552048447478
USER	Kafka Test	18	START	1552048447570	1552048447570
REQUEST	18		request	1552048447571	1552048447577	OK	 
USER	Kafka Test	18	END	1552048447570	1552048447577
USER	Kafka Test	19	START	1552048447671	1552048447671
REQUEST	19		request	1552048447672	1552048447678	OK	 
USER	Kafka Test	19	END	1552048447671	1552048447678
USER	Kafka Test	20	START	1552048447772	1552048447772
REQUEST	20		request	1552048447773	1552048447780	OK	 
USER	Kafka Test	20	END	1552048447772	1552048447780
USER	Kafka Test	21	START	1552048447871	1552048447871
REQUEST	21		request	1552048447872	1552048447878	OK	 
USER	Kafka Test	21	END	1552048447871	1552048447878
USER	Kafka Test	22	START	1552048447922	1552048447922
REQUEST	22		request	1552048447923	1552048447928	OK	 
USER	Kafka Test	22	END	1552048447922	1552048447929
USER	Kafka Test	23	START	1552048448020	1552048448020
REQUEST	23		request	1552048448021	1552048448027	OK	 
USER	Kafka Test	23	END	1552048448020	1552048448027
USER	Kafka Test	24	START	1552048448122	1552048448122
REQUEST	24		request	1552048448123	1552048448128	OK	 
USER	Kafka Test	24	END	1552048448122	1552048448128
USER	Kafka Test	25	START	1552048448222	1552048448222
REQUEST	25		request	1552048448223	1552048448228	OK	 
USER	Kafka Test	25	END	1552048448222	1552048448229
